	name	latitude	longitude	scores	category	price
1465	Ralph Lauren	31.236938603679253	121.45936903199235	-	shops	0
1466	浪琴(南京西路店)	31.236804057222397	121.45953553699634	-	shops	0
1467	IZZUE(南京西路店)	31.236902501957573	121.45974314505112	-	shops	0
1469	GIUSEPPE ZANOTTI DESIGN	31.235721938685078	121.4562310135559	-	shops	0
1470	EMU Australia	31.236938603679253	121.45936903199235	-	shops	0
1471	Abahouse Devinette(南京西路店)	31.23709134278742	121.4592877783954	-	shops	0
1472	Theory(中信泰富店)	31.236139191415656	121.45774433497469	-	shops	0
1473	CHAUMET(恒隆广场店)	31.23709134278742	121.4592877783954	-	shops	0
1474	ROPE PICNIC	31.23709134278742	121.4592877783954	-	shops	0
1475	隆义手工皮鞋屋(南阳路店)	31.236605886863888	121.4541350373925	-	shops	0
1476	Diane Von Furstenberg	31.235721938685078	121.4562310135559	-	shops	0
1477	Salad(中信泰富店)	31.236676069737424	121.45779844604336	-	shops	0
1478	泰泓珠宝	31.234847212824747	121.45345230197478	-	shops	0
1479	Holland & Barrett(四季坊店)	31.2379615599338	121.46287351842328	-	shops	0
1480	D.NADA	31.23709134278742	121.4592877783954	-	shops	0
1481	新行家燕窝(梅陇镇广场店)	31.237322648425234	121.45817749496932	-	shops	0
1482	laguna moon	31.237322648425234	121.45817749496932	-	shops	0
1483	黑胶唱片店	31.23475348465806	121.46100109559347	-	shops	0
1484	PENNYBLACK(南京西路店)	31.237322648425234	121.45817749496932	-	shops	0
1485	兴顺福中老年舒适鞋专卖店(银发...	31.238327722179914	121.45622075988005	-	shops	0
1486	米澜坊(南汇路店)	31.237684043144114	121.45927569165619	-	shops	0
1488	O'blu(恒隆店)	31.235721938685078	121.4562310135559	-	shops	0
1489	Dolce&Gabbana(恒隆店)	31.235721938685078	121.4562310135559	-	shops	0
1490	ON&ON	31.236737900864814	121.45860178752562	-	shops	0
1491	PAUL&SHARK(上海商城店)	31.235116527095407	121.45411511043744	-	shops	0
1492	LLADRO(恒隆店)	31.235721938685078	121.4562310135559	-	shops	0
1493	CALLISTO(梅龙镇店)	31.236737900864814	121.45860178752562	-	shops	6155
1494	Jade en Plus(南京西路店)	31.23709134278742	121.4592877783954	-	shops	0
1495	Harry Winston(恒隆广场店)	31.235721938685078	121.4562310135559	-	shops	0
1496	FURLA(中信泰富店)	31.236139191415656	121.45774433497469	-	shops	0
1497	观奇洋服(南京西路店)	31.235720515221374	121.45780153727893	-	shops	0
1498	雪茄客(新闸路店)	31.24212608737002	121.45972865263373	-	shops	0
1499	Jean Paul Gaultier(恒隆店)	31.235721938685078	121.4562310135559	-	shops	0
1500	波尔手表	31.24541942406215	121.50249357921717	-	shops	0
1503	Cole Haan(中信泰富店)	31.23590106883998	121.45720679856302	-	shops	0
1504	NO.76	31.23475348465806	121.46100109559347	-	shops	0
1505	MISS  SOFI(金鹰国际购物中心店)	31.236506470721615	121.4566260757571	-	shops	0
1507	开欣商厦	31.238205793350247	121.46301392915223	-	shops	0
1508	Max Mara(中信泰富店)	31.23598467811967	121.45792487342092	-	shops	0
1509	DANIEL CREMIEUX	31.23709134278742	121.4592877783954	-	shops	0
1510	BCBG(梅龙镇店)	31.23709134278742	121.4592877783954	-	shops	0
1511	Glasstique(梅龙镇广场店)	31.236938603679253	121.45936903199235	-	shops	0
1512	Hublot	31.235721938685078	121.4562310135559	-	shops	0
1513	Compagna	31.23709134278742	121.4592877783954	-	shops	0
1514	Puyi Optical(恒隆广场店)	31.236237665666607	121.45883150567151	-	shops	0
1515	Zuma(中信泰富店)	31.2358910871625	121.4572128167979	-	shops	0
1516	Jaeger-Le Coultre(恒隆店)	31.235721938685078	121.4562310135559	-	shops	0
1517	豪雅表(南京西路二店)	31.236898907430938	121.45949039497023	-	shops	0
1518	NPC	31.237322648425234	121.45817749496932	-	shops	0
1519	华伦天奴(恒隆广场店)	31.235721938685078	121.4562310135559	-	shops	0
1520	Marc By Marc Jacobs(中信泰富店...	31.236676069737424	121.45779844604336	-	shops	0
1521	巴黎站	31.237025218375774	121.45964684835137	-	shops	0
1522	Timberland(梅龙镇店)	31.23709134278742	121.4592877783954	-	shops	0
1523	Fred Perry(梅陇镇店)	31.23709134278742	121.4592877783954	-	shops	0
1524	欧柏兰奴	31.23709134278742	121.4592877783954	-	shops	0
1525	耐克(南京路一店)	31.23640847026459	121.45878134340522	-	shops	0
1526	杰尼亚(梅龙镇店)	31.236938603679253	121.45936903199235	-	shops	0
1527	万宝龙(南京西路店)	31.23709134278742	121.4592877783954	-	shops	0
1528	Victorinox瑞士军刀(中信泰富店)	31.236139191415656	121.45774433497469	-	shops	0
1529	都彭(恒隆店)	31.236237665666607	121.45883150567151	-	shops	0
1530	KIPLING(伊势丹店)	31.23709134278742	121.4592877783954	-	shops	0
1531	ACHETTE(梅龙镇店)	31.23709134278742	121.4592877783954	-	shops	0
1532	Braun Buffel(金鹰国际店)	31.236506470721615	121.4566260757571	-	shops	0
1533	JORYA WEEKEND(金鹰店)	31.236506470721615	121.4566260757571	-	shops	0
1534	卡西欧(818店)	31.239026379077636	121.46299780906355	-	shops	0
1535	23区HOMME	31.236938603679253	121.45936903199235	-	shops	0
1536	Mandarina Duck(梅龙镇店)	31.237322648425234	121.45817749496932	-	shops	0
1538	ZUCCa	31.235721938685078	121.4562310135559	-	shops	0
1539	FRANCK MULLER(中信泰富店)	31.23598467811967	121.45792487342092	-	shops	0
1540	LACOSTE(南京西路店)	31.235577057868472	121.45757388860133	-	shops	0
1541	佳达珠宝	31.23584592695595	121.45800511913906	-	shops	0
1543	MACANNA	31.236506470721615	121.4566260757571	-	shops	0
1544	Chloe Chen(金鹰店)	31.236506470721615	121.4566260757571	-	shops	0
1545	ISETAN(梅龙镇广场店)	31.237322648425234	121.45817749496932	-	shops	0
1546	VerItalia	31.23811113599189	121.45982227646213	-	shops	0
1547	TISSOT(梅龙镇店)	31.236938603679253	121.45936903199235	-	shops	0
1548	ATTOS(南京西路店)	31.2378766954916	121.46126863458974	-	shops	0
1550	Fratelli Rossetti	31.235721938685078	121.4562310135559	-	shops	0
1551	Roberto Cavalli Class	31.23598467811967	121.45792487342092	-	shops	0
1552	抓米的花作坊	31.23475348465806	121.46100109559347	-	shops	0
1553	Lifepower(梅龙镇广场店)	31.236737900864814	121.45860178752562	-	shops	0
1554	沙驰(梅龙镇店)	31.23709134278742	121.4592877783954	-	shops	0
1555	TOMBOY(梅龙店)	31.23709134278742	121.4592877783954	-	shops	0
1556	THE NORTH FACE(梅龙镇店)	31.23709134278742	121.4592877783954	-	shops	0
1558	景福珠宝	31.235721938685078	121.4562310135559	-	shops	0
1559	Gianfranco Ferre(梅龙镇店)	31.23709134278742	121.4592877783954	-	shops	0
1560	CRISTINA GAVIOLI	31.23709134278742	121.4592877783954	-	shops	0
1561	as know as(恒隆店)	31.235721938685078	121.4562310135559	-	shops	0
1564	蓝棠(西康路店)	31.236758989969026	121.45375497157451	-	shops	0
1565	香奈儿腕表珠宝店	31.235721938685078	121.4562310135559	-	shops	0
1566	ROLEX(南西店)	31.236489215759892	121.45868806226296	-	shops	0
1567	真挚服(南京西路店)	31.238162053615504	121.46147122303238	-	shops	0
1568	拉格斐	31.235721938685078	121.4562310135559	-	shops	0
1569	BCBG(恒隆店)	31.236237665666607	121.45883150567151	-	shops	0
1570	DAZZLE(梅龙镇店)	31.23709134278742	121.4592877783954	-	shops	0
1571	FRIIS & COMPANY(吴江路店)	31.237045234826304	121.46091865020384	-	shops	0
1572	pink mary(梅龙镇伊势丹店)	31.23709134278742	121.4592877783954	-	shops	0
1573	SEE BY CHLOE(金鹰店)	31.236506470721615	121.4566260757571	-	shops	0
